Prev_Theta1	Prev_Theta2	Start_Theta1	Start_Theta2	End_Theta1	End_Theta2	Torque1	Torque2
0.523599	0.523599	0.523599	0.523599	0.519799	0.522427	-38.00	-39.55
0.523599	0.523599	0.519799	0.522427	0.512852	0.520198	-31.47	-35.70
0.519799	0.522427	0.512852	0.520198	0.503450	0.517007	-24.55	-32.46
0.512852	0.520198	0.503450	0.517007	0.492264	0.512886	-17.85	-31.37
0.503450	0.517007	0.492264	0.512886	0.479709	0.507892	-13.67	-29.49
0.492264	0.512886	0.479709	0.507892	0.466137	0.502087	-10.19	-27.36
0.479709	0.507892	0.466137	0.502087	0.451834	0.495532	-7.29	-25.32
0.466137	0.502087	0.451834	0.495532	0.437074	0.488340	-4.57	-21.49
0.451834	0.495532	0.437074	0.488340	0.422086	0.480557	-2.29	-19.96
0.437074	0.488340	0.422086	0.480557	0.406920	0.472221	-1.77	-18.66
0.422086	0.480557	0.406920	0.472221	0.391700	0.463388	-0.55	-16.81
0.406920	0.472221	0.391700	0.463388	0.376632	0.454112	1.53	-14.91
0.391700	0.463388	0.376632	0.454112	0.361683	0.444426	1.19	-13.84
0.376632	0.454112	0.361683	0.444426	0.346965	0.434380	2.31	-12.19
0.361683	0.444426	0.346965	0.434380	0.332638	0.424010	3.92	-10.89
0.346965	0.434380	0.332638	0.424010	0.318684	0.413358	3.72	-9.56
0.332638	0.424010	0.318684	0.413358	0.305126	0.402462	3.95	-8.18
0.318684	0.413358	0.305126	0.402462	0.291999	0.391357	4.32	-7.09
0.305126	0.402462	0.291999	0.391357	0.279299	0.380084	4.27	-5.70
0.291999	0.391357	0.279299	0.380084	0.267108	0.368667	5.10	-4.82
0.279299	0.380084	0.267108	0.368667	0.255320	0.357158	4.02	-3.14
0.267108	0.368667	0.255320	0.357158	0.244082	0.345576	5.50	-2.44
0.255320	0.357158	0.244082	0.345576	0.233363	0.333947	5.19	-1.59
0.244082	0.345576	0.233363	0.333947	0.223117	0.322296	4.73	-0.75
